[2017-05-08 23:59:24,917] INFO: Run for basic...
[2017-05-08 23:59:25,098] INFO: Combine   1/176 feat: CooccurrenceCount_Bigram_question1_x_question2_1D (1D) (corr = 0.3167326462322128)
[2017-05-08 23:59:25,267] INFO: Combine   2/176 feat: CooccurrenceCount_Bigram_question2_x_question1_1D (1D) (corr = 0.3167326462322128)
[2017-05-08 23:59:25,442] INFO: Combine   3/176 feat: CooccurrenceCount_Trigram_question1_x_question2_1D (1D) (corr = 0.2595419614146898)
[2017-05-08 23:59:25,604] INFO: Combine   4/176 feat: CooccurrenceCount_Trigram_question2_x_question1_1D (1D) (corr = 0.2595419614146898)
[2017-05-08 23:59:25,765] INFO: Combine   5/176 feat: CooccurrenceCount_Unigram_question1_x_question2_1D (1D) (corr = 0.16810638479823461)
[2017-05-08 23:59:25,927] INFO: Combine   6/176 feat: CooccurrenceCount_Unigram_question2_x_question1_1D (1D) (corr = 0.16810638479823461)
[2017-05-08 23:59:26,067] INFO: Combine   7/176 feat: CooccurrenceRatio_Bigram_question1_x_question2_1D (1D) (corr = 0.307879203828915)
[2017-05-08 23:59:26,181] INFO: Combine   8/176 feat: CooccurrenceRatio_Bigram_question2_x_question1_1D (1D) (corr = 0.307879203828915)
[2017-05-08 23:59:26,297] INFO: Combine   9/176 feat: CooccurrenceRatio_Trigram_question1_x_question2_1D (1D) (corr = 0.240180731937185)
[2017-05-08 23:59:26,416] INFO: Combine  10/176 feat: CooccurrenceRatio_Trigram_question2_x_question1_1D (1D) (corr = 0.240180731937185)
[2017-05-08 23:59:26,528] INFO: Combine  11/176 feat: CooccurrenceRatio_Unigram_question1_x_question2_1D (1D) (corr = 0.308206738640578)
[2017-05-08 23:59:26,668] INFO: Combine  12/176 feat: CooccurrenceRatio_Unigram_question2_x_question1_1D (1D) (corr = 0.308206738640578)
[2017-05-08 23:59:26,811] INFO: Drop: DigitCount_question1_1D (1D) (abs corr = 0.0039876580829624995, < threshold = 0.05)
[2017-05-08 23:59:26,945] INFO: Drop: DigitCount_question2_1D (1D) (abs corr = 0.006396068634165991, < threshold = 0.05)
[2017-05-08 23:59:27,045] INFO: Drop: DigitRatio_question1_1D (1D) (abs corr = 0.03569945388445178, < threshold = 0.05)
[2017-05-08 23:59:27,154] INFO: Drop: DigitRatio_question2_1D (1D) (abs corr = 0.03190529053626012, < threshold = 0.05)
[2017-05-08 23:59:27,260] INFO: Combine  13/176 feat: DocEntropy_question1_1D (1D) (corr = -0.14528322782820371)
[2017-05-08 23:59:27,378] INFO: Combine  14/176 feat: DocEntropy_question2_1D (1D) (corr = -0.1461582928024153)
[2017-05-08 23:59:27,530] INFO: Combine  15/176 feat: DocFreq_question1_1D (1D) (corr = 0.34077336595815455)
[2017-05-08 23:59:27,670] INFO: Combine  16/176 feat: DocFreq_question2_1D (1D) (corr = 0.3350328345123778)
[2017-05-08 23:59:27,785] INFO: Drop: DocId_question1_1D (1D) (abs corr = 0.002067737839914635, < threshold = 0.05)
[2017-05-08 23:59:27,878] INFO: Drop: DocId_question2_1D (1D) (abs corr = 0.00011260269612234331, < threshold = 0.05)
[2017-05-08 23:59:28,013] INFO: Combine  17/176 feat: DocLen_question1_1D (1D) (corr = -0.15580009668998154)
[2017-05-08 23:59:28,183] INFO: Combine  18/176 feat: DocLen_question2_1D (1D) (corr = -0.15890005868988388)
[2017-05-08 23:59:28,336] INFO: Combine  19/176 feat: IntersectCount_Bigram_question1_x_question2_1D (1D) (corr = 0.3211231674177934)
[2017-05-08 23:59:28,499] INFO: Combine  20/176 feat: IntersectCount_Bigram_question2_x_question1_1D (1D) (corr = 0.32092677911091105)
[2017-05-08 23:59:28,661] INFO: Combine  21/176 feat: IntersectCount_Trigram_question1_x_question2_1D (1D) (corr = 0.26088647174743174)
[2017-05-08 23:59:28,821] INFO: Combine  22/176 feat: IntersectCount_Trigram_question2_x_question1_1D (1D) (corr = 0.26082447142679754)
[2017-05-08 23:59:28,978] INFO: Combine  23/176 feat: IntersectCount_Unigram_question1_x_question2_1D (1D) (corr = 0.21116103314139595)
[2017-05-08 23:59:29,142] INFO: Combine  24/176 feat: IntersectCount_Unigram_question2_x_question1_1D (1D) (corr = 0.2073266431120101)
[2017-05-08 23:59:29,316] INFO: Combine  25/176 feat: IntersectPosition_Bigram_Max_question1_x_question2_1D (1D) (corr = 0.2978744339397428)
[2017-05-08 23:59:29,482] INFO: Combine  26/176 feat: IntersectPosition_Bigram_Max_question2_x_question1_1D (1D) (corr = 0.2902798639994474)
[2017-05-08 23:59:29,645] INFO: Combine  27/176 feat: IntersectPosition_Bigram_Mean_question1_x_question2_1D (1D) (corr = 0.26988124228992943)
[2017-05-08 23:59:29,832] INFO: Combine  28/176 feat: IntersectPosition_Bigram_Mean_question2_x_question1_1D (1D) (corr = 0.26093450729801765)
[2017-05-08 23:59:29,992] INFO: Combine  29/176 feat: IntersectPosition_Bigram_Median_question1_x_question2_1D (1D) (corr = 0.2666469424863412)
[2017-05-08 23:59:30,176] INFO: Combine  30/176 feat: IntersectPosition_Bigram_Median_question2_x_question1_1D (1D) (corr = 0.258143228858886)
[2017-05-08 23:59:30,349] INFO: Combine  31/176 feat: IntersectPosition_Bigram_Min_question1_x_question2_1D (1D) (corr = 0.15747903052973067)
[2017-05-08 23:59:30,513] INFO: Combine  32/176 feat: IntersectPosition_Bigram_Min_question2_x_question1_1D (1D) (corr = 0.1485560830915255)
[2017-05-08 23:59:30,663] INFO: Combine  33/176 feat: IntersectPosition_Bigram_Std_question1_x_question2_1D (1D) (corr = 0.2719480563391841)
[2017-05-08 23:59:30,832] INFO: Combine  34/176 feat: IntersectPosition_Bigram_Std_question2_x_question1_1D (1D) (corr = 0.26695587304210805)
[2017-05-08 23:59:31,003] INFO: Combine  35/176 feat: IntersectPosition_Trigram_Max_question1_x_question2_1D (1D) (corr = 0.28108020448479976)
[2017-05-08 23:59:31,170] INFO: Combine  36/176 feat: IntersectPosition_Trigram_Max_question2_x_question1_1D (1D) (corr = 0.2776912957958044)
[2017-05-08 23:59:31,323] INFO: Combine  37/176 feat: IntersectPosition_Trigram_Mean_question1_x_question2_1D (1D) (corr = 0.279414837350151)
[2017-05-08 23:59:31,479] INFO: Combine  38/176 feat: IntersectPosition_Trigram_Mean_question2_x_question1_1D (1D) (corr = 0.27538300924503745)
[2017-05-08 23:59:31,633] INFO: Combine  39/176 feat: IntersectPosition_Trigram_Median_question1_x_question2_1D (1D) (corr = 0.27802812765206886)
[2017-05-08 23:59:31,827] INFO: Combine  40/176 feat: IntersectPosition_Trigram_Median_question2_x_question1_1D (1D) (corr = 0.2741182279749494)
[2017-05-08 23:59:32,037] INFO: Combine  41/176 feat: IntersectPosition_Trigram_Min_question1_x_question2_1D (1D) (corr = 0.25678737990095496)
[2017-05-08 23:59:32,225] INFO: Combine  42/176 feat: IntersectPosition_Trigram_Min_question2_x_question1_1D (1D) (corr = 0.25167275778439036)
[2017-05-08 23:59:32,400] INFO: Combine  43/176 feat: IntersectPosition_Trigram_Std_question1_x_question2_1D (1D) (corr = 0.19390436952895465)
[2017-05-08 23:59:32,564] INFO: Combine  44/176 feat: IntersectPosition_Trigram_Std_question2_x_question1_1D (1D) (corr = 0.1930171866350253)
[2017-05-08 23:59:32,779] INFO: Combine  45/176 feat: IntersectPosition_Unigram_Max_question1_x_question2_1D (1D) (corr = -0.15257977375886447)
